kecamatan,periode,jumlah_kasus,tahun,bulan,nama_bulan,musim
Cakung,2010-01-01,51,2010,1,January,Musim Hujan
Cakung,2010-02-01,78,2010,2,February,Musim Hujan
Cakung,2010-03-01,157,2010,3,March,Pancaroba I
Cakung,2010-04-01,145,2010,4,April,Pancaroba I
Cakung,2010-05-01,91,2010,5,May,Pancaroba I
Cakung,2010-06-01,68,2010,6,June,Musim Kemarau
Cakung,2010-07-01,83,2010,7,July,Musim Kemarau
Cakung,2010-08-01,48,2010,8,August,Musim Kemarau
Cakung,2010-09-01,53,2010,9,September,Pancaroba II
Cakung,2010-10-01,39,2010,10,October,Pancaroba II
Cakung,2010-11-01,61,2010,11,November,Pancaroba II
Cakung,2010-12-01,53,2010,12,December,Musim Hujan
Cakung,2011-01-01,38,2011,1,January,Musim Hujan
Cakung,2011-02-01,37,2011,2,February,Musim Hujan
Cakung,2011-03-01,27,2011,3,March,Pancaroba I
Cakung,2011-04-01,23,2011,4,April,Pancaroba I
Cakung,2011-05-01,25,2011,5,May,Pancaroba I
Cakung,2011-06-01,26,2011,6,June,Musim Kemarau
Cakung,2011-07-01,32,2011,7,July,Musim Kemarau
Cakung,2011-08-01,26,2011,8,August,Musim Kemarau
Cakung,2011-09-01,20,2011,9,September,Pancaroba II
Cakung,2011-10-01,17,2011,10,October,Pancaroba II
Cakung,2011-11-01,14,2011,11,November,Pancaroba II
Cakung,2011-12-01,11,2011,12,December,Musim Hujan
Cakung,2012-01-01,30,2012,1,January,Musim Hujan
Cakung,2012-02-01,37,2012,2,February,Musim Hujan
Cakung,2012-03-01,43,2012,3,March,Pancaroba I
Cakung,2012-04-01,50,2012,4,April,Pancaroba I
Cakung,2012-05-01,48,2012,5,May,Pancaroba I
Cakung,2012-06-01,21,2012,6,June,Musim Kemarau
Cakung,2012-07-01,18,2012,7,July,Musim Kemarau
Cakung,2012-08-01,14,2012,8,August,Musim Kemarau
Cakung,2012-09-01,7,2012,9,September,Pancaroba II
Cakung,2012-10-01,7,2012,10,October,Pancaroba II
Cakung,2012-11-01,8,2012,11,November,Pancaroba II
Cakung,2012-12-01,6,2012,12,December,Musim Hujan
Cakung,2013-01-01,39,2013,1,January,Musim Hujan
Cakung,2013-02-01,31,2013,2,February,Musim Hujan
Cakung,2013-03-01,34,2013,3,March,Pancaroba I
Cakung,2013-04-01,79,2013,4,April,Pancaroba I
Cakung,2013-05-01,107,2013,5,May,Pancaroba I
Cakung,2013-06-01,61,2013,6,June,Musim Kemarau
Cakung,2013-07-01,76,2013,7,July,Musim Kemarau
Cakung,2013-08-01,61,2013,8,August,Musim Kemarau
Cakung,2013-09-01,42,2013,9,September,Pancaroba II
Cakung,2013-10-01,13,2013,10,October,Pancaroba II
Cakung,2013-11-01,8,2013,11,November,Pancaroba II
Cakung,2013-12-01,4,2013,12,December,Musim Hujan
Cakung,2014-01-01,14,2014,1,January,Musim Hujan
Cakung,2014-02-01,27,2014,2,February,Musim Hujan
Cakung,2014-03-01,50,2014,3,March,Pancaroba I
Cakung,2014-04-01,38,2014,4,April,Pancaroba I
Cakung,2014-05-01,31,2014,5,May,Pancaroba I
Cakung,2014-06-01,25,2014,6,June,Musim Kemarau
Cakung,2014-07-01,15,2014,7,July,Musim Kemarau
Cakung,2014-08-01,19,2014,8,August,Musim Kemarau
Cakung,2014-09-01,7,2014,9,September,Pancaroba II
Cakung,2014-10-01,6,2014,10,October,Pancaroba II
Cakung,2014-11-01,0,2014,11,November,Pancaroba II
Cakung,2014-12-01,2,2014,12,December,Musim Hujan
Cakung,2015-01-01,6,2015,1,January,Musim Hujan
Cakung,2015-02-01,20,2015,2,February,Musim Hujan
Cakung,2015-03-01,26,2015,3,March,Pancaroba I
Cakung,2015-04-01,57,2015,4,April,Pancaroba I
Cakung,2015-05-01,33,2015,5,May,Pancaroba I
Cakung,2015-06-01,29,2015,6,June,Musim Kemarau
Cakung,2015-07-01,8,2015,7,July,Musim Kemarau
Cakung,2015-08-01,4,2015,8,August,Musim Kemarau
Cakung,2015-09-01,8,2015,9,September,Pancaroba II
Cakung,2015-10-01,4,2015,10,October,Pancaroba II
Cakung,2015-11-01,10,2015,11,November,Pancaroba II
Cakung,2015-12-01,6,2015,12,December,Musim Hujan
Cakung,2016-01-01,22,2016,1,January,Musim Hujan
Cakung,2016-02-01,54,2016,2,February,Musim Hujan
Cakung,2016-03-01,137,2016,3,March,Pancaroba I
Cakung,2016-04-01,169,2016,4,April,Pancaroba I
Cakung,2016-05-01,117,2016,5,May,Pancaroba I
Cakung,2016-06-01,73,2016,6,June,Musim Kemarau
Cakung,2016-07-01,66,2016,7,July,Musim Kemarau
Cakung,2016-08-01,72,2016,8,August,Musim Kemarau
Cakung,2016-09-01,55,2016,9,September,Pancaroba II
Cakung,2016-10-01,49,2016,10,October,Pancaroba II
Cakung,2016-11-01,56,2016,11,November,Pancaroba II
Cakung,2016-12-01,48,2016,12,December,Musim Hujan
Cakung,2017-01-01,41,2017,1,January,Musim Hujan
Cakung,2017-02-01,25,2017,2,February,Musim Hujan
Cakung,2017-03-01,42,2017,3,March,Pancaroba I
Cakung,2017-04-01,26,2017,4,April,Pancaroba I
Cakung,2017-05-01,36,2017,5,May,Pancaroba I
Cakung,2017-06-01,15,2017,6,June,Musim Kemarau
Cakung,2017-07-01,10,2017,7,July,Musim Kemarau
Cakung,2017-08-01,10,2017,8,August,Musim Kemarau
Cakung,2017-09-01,5,2017,9,September,Pancaroba II
Cakung,2017-10-01,11,2017,10,October,Pancaroba II
Cakung,2017-11-01,3,2017,11,November,Pancaroba II
Cakung,2017-12-01,5,2017,12,December,Musim Hujan
Cakung,2018-01-01,5,2018,1,January,Musim Hujan
Cakung,2018-02-01,8,2018,2,February,Musim Hujan
Cakung,2018-03-01,11,2018,3,March,Pancaroba I
Cakung,2018-04-01,19,2018,4,April,Pancaroba I
Cakung,2018-05-01,27,2018,5,May,Pancaroba I
Cakung,2018-06-01,15,2018,6,June,Musim Kemarau
Cakung,2018-07-01,9,2018,7,July,Musim Kemarau
Cakung,2018-08-01,8,2018,8,August,Musim Kemarau
Cakung,2018-09-01,0,2018,9,September,Pancaroba II
Cakung,2018-10-01,3,2018,10,October,Pancaroba II
Cakung,2018-11-01,4,2018,11,November,Pancaroba II
Cakung,2018-12-01,8,2018,12,December,Musim Hujan
Cakung,2019-01-01,27,2019,1,January,Musim Hujan
Cakung,2019-02-01,54,2019,2,February,Musim Hujan
Cakung,2019-03-01,65,2019,3,March,Pancaroba I
Cakung,2019-04-01,54,2019,4,April,Pancaroba I
Cakung,2019-05-01,77,2019,5,May,Pancaroba I
Cakung,2019-06-01,61,2019,6,June,Musim Kemarau
Cakung,2019-07-01,15,2019,7,July,Musim Kemarau
Cakung,2019-08-01,2,2019,8,August,Musim Kemarau
Cakung,2019-09-01,4,2019,9,September,Pancaroba II
Cakung,2019-10-01,0,2019,10,October,Pancaroba II
Cakung,2019-11-01,0,2019,11,November,Pancaroba II
Cakung,2019-12-01,1,2019,12,December,Musim Hujan
Cakung,2020-01-01,4,2020,1,January,Musim Hujan
Cakung,2020-02-01,11,2020,2,February,Musim Hujan
Cakung,2020-03-01,73,2020,3,March,Pancaroba I
Cakung,2020-04-01,56,2020,4,April,Pancaroba I
Cakung,2020-05-01,68,2020,5,May,Pancaroba I
Cakung,2020-06-01,17,2020,6,June,Musim Kemarau
Cakung,2020-07-01,8,2020,7,July,Musim Kemarau
Cakung,2020-08-01,0,2020,8,August,Musim Kemarau
Cakung,2020-09-01,3,2020,9,September,Pancaroba II
Cakung,2020-10-01,1,2020,10,October,Pancaroba II
Cakung,2020-11-01,0,2020,11,November,Pancaroba II
Cakung,2020-12-01,3,2020,12,December,Musim Hujan
Cakung,2021-01-01,7,2021,1,January,Musim Hujan
Cakung,2021-02-01,2,2021,2,February,Musim Hujan
Cakung,2021-03-01,13,2021,3,March,Pancaroba I
Cakung,2021-04-01,23,2021,4,April,Pancaroba I
Cakung,2021-05-01,53,2021,5,May,Pancaroba I
Cakung,2021-06-01,41,2021,6,June,Musim Kemarau
Cakung,2021-07-01,35,2021,7,July,Musim Kemarau
Cakung,2021-08-01,24,2021,8,August,Musim Kemarau
Cakung,2021-09-01,22,2021,9,September,Pancaroba II
Cakung,2021-10-01,15,2021,10,October,Pancaroba II
Cakung,2021-11-01,11,2021,11,November,Pancaroba II
Cakung,2021-12-01,16,2021,12,December,Musim Hujan
Cakung,2022-01-01,22,2022,1,January,Musim Hujan
Cakung,2022-02-01,16,2022,2,February,Musim Hujan
Cakung,2022-03-01,44,2022,3,March,Pancaroba I
Cakung,2022-04-01,60,2022,4,April,Pancaroba I
Cakung,2022-05-01,69,2022,5,May,Pancaroba I
Cakung,2022-06-01,47,2022,6,June,Musim Kemarau
Cakung,2022-07-01,69,2022,7,July,Musim Kemarau
Cakung,2022-08-01,27,2022,8,August,Musim Kemarau
Cakung,2022-09-01,8,2022,9,September,Pancaroba II
Cakung,2022-10-01,14,2022,10,October,Pancaroba II
Cakung,2022-11-01,11,2022,11,November,Pancaroba II
Cakung,2022-12-01,5,2022,12,December,Musim Hujan
Cakung,2023-01-01,15,2023,1,January,Musim Hujan
Cakung,2023-02-01,10,2023,2,February,Musim Hujan
Cakung,2023-03-01,16,2023,3,March,Pancaroba I
Cakung,2023-04-01,32,2023,4,April,Pancaroba I
Cakung,2023-05-01,35,2023,5,May,Pancaroba I
Cakung,2023-06-01,15,2023,6,June,Musim Kemarau
Cakung,2023-07-01,22,2023,7,July,Musim Kemarau
Cakung,2023-08-01,9,2023,8,August,Musim Kemarau
Cakung,2023-09-01,9,2023,9,September,Pancaroba II
Cakung,2023-10-01,4,2023,10,October,Pancaroba II
Cakung,2023-11-01,4,2023,11,November,Pancaroba II
Cakung,2023-12-01,3,2023,12,December,Musim Hujan
Cakung,2024-01-01,5,2024,1,January,Musim Hujan
Cakung,2024-02-01,17,2024,2,February,Musim Hujan
Cakung,2024-03-01,67,2024,3,March,Pancaroba I
Cakung,2024-04-01,161,2024,4,April,Pancaroba I
Cakung,2024-05-01,56,2024,5,May,Pancaroba I
Cakung,2024-06-01,17,2024,6,June,Musim Kemarau
Cakung,2024-07-01,4,2024,7,July,Musim Kemarau
Cakung,2024-08-01,11,2024,8,August,Musim Kemarau
Cakung,2024-09-01,2,2024,9,September,Pancaroba II
Cakung,2024-10-01,3,2024,10,October,Pancaroba II
Cakung,2024-11-01,1,2024,11,November,Pancaroba II
