kecamatan,periode,jumlah_kasus
Cakung,2010-01-01,51
Cakung,2010-02-01,78
Cakung,2010-03-01,157
Cakung,2010-04-01,145
Cakung,2010-05-01,91
Cakung,2010-06-01,68
Cakung,2010-07-01,83
Cakung,2010-08-01,48
Cakung,2010-09-01,53
Cakung,2010-10-01,39
Cakung,2010-11-01,61
Cakung,2010-12-01,53
Cakung,2011-01-01,38
Cakung,2011-02-01,37
Cakung,2011-03-01,27
Cakung,2011-04-01,23
Cakung,2011-05-01,25
Cakung,2011-06-01,26
Cakung,2011-07-01,32
Cakung,2011-08-01,26
Cakung,2011-09-01,20
Cakung,2011-10-01,17
Cakung,2011-11-01,14
Cakung,2011-12-01,11
Cakung,2012-01-01,30
Cakung,2012-02-01,37
Cakung,2012-03-01,43
Cakung,2012-04-01,50
Cakung,2012-05-01,48
Cakung,2012-06-01,21
Cakung,2012-07-01,18
Cakung,2012-08-01,14
Cakung,2012-09-01,7
Cakung,2012-10-01,7
Cakung,2012-11-01,8
Cakung,2012-12-01,6
Cakung,2013-01-01,39
Cakung,2013-02-01,31
Cakung,2013-03-01,34
Cakung,2013-04-01,79
Cakung,2013-05-01,107
Cakung,2013-06-01,61
Cakung,2013-07-01,76
Cakung,2013-08-01,61
Cakung,2013-09-01,42
Cakung,2013-10-01,13
Cakung,2013-11-01,8
Cakung,2013-12-01,4
Cakung,2014-01-01,14
Cakung,2014-02-01,27
Cakung,2014-03-01,50
Cakung,2014-04-01,38
Cakung,2014-05-01,31
Cakung,2014-06-01,25
Cakung,2014-07-01,15
Cakung,2014-08-01,19
Cakung,2014-09-01,7
Cakung,2014-10-01,6
Cakung,2014-11-01,0
Cakung,2014-12-01,2
Cakung,2015-01-01,6
Cakung,2015-02-01,20
Cakung,2015-03-01,26
Cakung,2015-04-01,57
Cakung,2015-05-01,33
Cakung,2015-06-01,29
Cakung,2015-07-01,8
Cakung,2015-08-01,4
Cakung,2015-09-01,8
Cakung,2015-10-01,4
Cakung,2015-11-01,10
Cakung,2015-12-01,6
Cakung,2016-01-01,22
Cakung,2016-02-01,54
Cakung,2016-03-01,137
Cakung,2016-04-01,169
Cakung,2016-05-01,117
Cakung,2016-06-01,73
Cakung,2016-07-01,66
Cakung,2016-08-01,72
Cakung,2016-09-01,55
Cakung,2016-10-01,49
Cakung,2016-11-01,56
Cakung,2016-12-01,48
Cakung,2017-01-01,41
Cakung,2017-02-01,25
Cakung,2017-03-01,42
Cakung,2017-04-01,26
Cakung,2017-05-01,36
Cakung,2017-06-01,15
Cakung,2017-07-01,10
Cakung,2017-08-01,10
Cakung,2017-09-01,5
Cakung,2017-10-01,11
Cakung,2017-11-01,3
Cakung,2017-12-01,5
Cakung,2018-01-01,5
Cakung,2018-02-01,8
Cakung,2018-03-01,11
Cakung,2018-04-01,19
Cakung,2018-05-01,27
Cakung,2018-06-01,15
Cakung,2018-07-01,9
Cakung,2018-08-01,8
Cakung,2018-09-01,0
Cakung,2018-10-01,3
Cakung,2018-11-01,4
Cakung,2018-12-01,8
Cakung,2019-01-01,27
Cakung,2019-02-01,54
Cakung,2019-03-01,65
Cakung,2019-04-01,54
Cakung,2019-05-01,77
Cakung,2019-06-01,61
Cakung,2019-07-01,15
Cakung,2019-08-01,2
Cakung,2019-09-01,4
Cakung,2019-10-01,0
Cakung,2019-11-01,0
Cakung,2019-12-01,1
Cakung,2020-01-01,4
Cakung,2020-02-01,11
Cakung,2020-03-01,73
Cakung,2020-04-01,56
Cakung,2020-05-01,68
Cakung,2020-06-01,17
Cakung,2020-07-01,8
Cakung,2020-08-01,0
Cakung,2020-09-01,3
Cakung,2020-10-01,1
Cakung,2020-11-01,0
Cakung,2020-12-01,3
Cakung,2021-01-01,7
Cakung,2021-02-01,2
Cakung,2021-03-01,13
Cakung,2021-04-01,23
Cakung,2021-05-01,53
Cakung,2021-06-01,41
Cakung,2021-07-01,35
Cakung,2021-08-01,24
Cakung,2021-09-01,22
Cakung,2021-10-01,15
