kecamatan,periode,jumlah_kasus,tahun,bulan,nama_bulan,musim
Cakung,1/1/2026,5,2026,1,Januari,Musim Hujan
Cempaka Putih,1/1/2026,5,2026,1,Januari,Musim Hujan
Cengkareng,1/1/2026,5,2026,1,Januari,Musim Hujan
Cilandak,1/1/2026,8,2026,1,Januari,Musim Hujan
Cilincing,1/1/2026,14,2026,1,Januari,Musim Hujan
Cipayung,1/1/2026,6,2026,1,Januari,Musim Hujan
Ciracas,1/1/2026,8,2026,1,Januari,Musim Hujan
Duren Sawit,1/1/2026,9,2026,1,Januari,Musim Hujan
Gambir,1/1/2026,7,2026,1,Januari,Musim Hujan
Grogol Petamburan,1/1/2026,5,2026,1,Januari,Musim Hujan
Jagakarsa,1/1/2026,9,2026,1,Januari,Musim Hujan
Jatinegara,1/1/2026,14,2026,1,Januari,Musim Hujan
Johar Baru,1/1/2026,11,2026,1,Januari,Musim Hujan
Kalideres,1/1/2026,7,2026,1,Januari,Musim Hujan
Kebayoran Baru,1/1/2026,9,2026,1,Januari,Musim Hujan
Kebayoran Lama,1/1/2026,6,2026,1,Januari,Musim Hujan
Kebon Jeruk,1/1/2026,7,2026,1,Januari,Musim Hujan
Kelapa Gading,1/1/2026,6,2026,1,Januari,Musim Hujan
Kemayoran,1/1/2026,9,2026,1,Januari,Musim Hujan
Kembangan,1/1/2026,5,2026,1,Januari,Musim Hujan
Kep. Seribu Selatan,1/1/2026,13,2026,1,Januari,Musim Hujan
Kep. Seribu Utara,1/1/2026,6,2026,1,Januari,Musim Hujan
Koja,1/1/2026,3,2026,1,Januari,Musim Hujan
Kramat Jati,1/1/2026,11,2026,1,Januari,Musim Hujan
Makasar,1/1/2026,10,2026,1,Januari,Musim Hujan
Mampang Prapatan,1/1/2026,8,2026,1,Januari,Musim Hujan
Matraman,1/1/2026,5,2026,1,Januari,Musim Hujan
Menteng,1/1/2026,5,2026,1,Januari,Musim Hujan
Pademangan,1/1/2026,11,2026,1,Januari,Musim Hujan
Palmerah,1/1/2026,9,2026,1,Januari,Musim Hujan
Pancoran,1/1/2026,4,2026,1,Januari,Musim Hujan
Pasar Minggu,1/1/2026,11,2026,1,Januari,Musim Hujan
Pasar Rebo,1/1/2026,7,2026,1,Januari,Musim Hujan
Penjaringan,1/1/2026,9,2026,1,Januari,Musim Hujan
Pesanggrahan,1/1/2026,6,2026,1,Januari,Musim Hujan
Pulo Gadung,1/1/2026,14,2026,1,Januari,Musim Hujan
Sawah Besar,1/1/2026,13,2026,1,Januari,Musim Hujan
Senen,1/1/2026,8,2026,1,Januari,Musim Hujan
Setia Budi,1/1/2026,7,2026,1,Januari,Musim Hujan
Taman Sari,1/1/2026,6,2026,1,Januari,Musim Hujan
Tambora,1/1/2026,8,2026,1,Januari,Musim Hujan
Tanah Abang,1/1/2026,4,2026,1,Januari,Musim Hujan
Tanjung Priok,1/1/2026,9,2026,1,Januari,Musim Hujan
Tebet,1/1/2026,7,2026,1,Januari,Musim Hujan
